Maximum temperature (°C),
25.1,
21.0,
20.7,
33.1,
35.3,
23.5,
28.7,
33.3,
34.5,
32.2,
32.5,
35.4,
23.9,
27.4,
34.9,
21.4,
19.1,
25.0,
32.5,
27.9,
19.6,
20.1,
21.8,
21.0,
22.4,
21.1,
21.1,
30.1,
21.5,
21.5,
